age,income,credit_score,loan_amount,employment_length,debt_to_income,num_credit_lines,gender,race,approved
25,177361,571,28474,19,0.09093544991304114,18,1,1,1
31,154461,551,26045,12,0.9232237469852286,6,0,3,0
40,176755,389,96319,20,0.6892793212258371,1,0,2,0
57,164701,745,9922,28,0.1271026137707404,15,1,3,1
38,81550,631,27706,19,0.35672316930890635,11,0,2,1
33,44826,438,47771,28,0.5924829939015964,14,1,1,0
62,120734,656,57335,5,0.8355717050906487,0,1,0,0
35,177702,573,57949,19,0.04366092871300853,12,1,1,1
64,197235,318,75714,17,0.23663313147000886,5,1,0,1
41,118511,610,20240,24,0.88974899029538,12,0,0,0
43,31653,453,96756,1,0.009165550183816484,17,0,3,0
42,179033,689,7716,24,0.2013991027938874,2,1,0,1
62,101941,559,21574,25,0.959024175972966,0,0,1,0
58,53662,424,88255,5,0.6134018465221711,14,0,3,0
46,118818,653,78717,8,0.26167136663750645,12,0,0,1
32,172360,572,49066,24,0.0669910943958476,4,1,1,1
62,115081,544,66826,2,0.028191340447222157,12,0,0,1
18,56877,749,25213,0,0.24474507963692727,4,0,0,1
42,131562,546,76916,0,0.8814858195889105,18,0,3,0
24,166385,819,71151,18,0.4159136542975095,17,1,3,1
26,92715,440,55906,4,0.720333369165993,9,0,1,0
41,161398,661,5463,12,0.9182850353799578,7,0,3,0
18,130091,307,36973,18,0.4080404616028166,14,1,3,0
61,152632,777,79694,11,0.19127737103739706,19,0,2,1
25,99148,651,25651,15,0.5171179308569195,3,1,2,1
41,103186,794,73694,24,0.9080836870598544,1,1,1,1
28,177817,726,25008,24,0.8043744141377006,5,1,3,1
68,182962,338,75474,18,0.06582984336315378,2,1,1,0
34,171094,486,43185,2,0.6925728000775818,6,1,2,0
25,143629,392,92924,11,0.5718975224589538,9,1,2,0
52,90316,385,79417,29,0.9074631763464255,5,0,2,0
52,48380,343,76139,4,0.12248141685029723,15,1,1,0
50,130198,436,39980,1,0.5340361132046566,1,0,3,0
22,22356,720,27504,21,0.8794626935118923,16,0,0,0
59,90326,373,59970,6,0.410023786741743,12,1,3,0
56,112447,847,21766,12,0.48199491773286707,0,0,1,1
58,134994,811,98922,24,0.0704606776669583,5,0,2,1
45,40049,455,16695,14,0.2781436404489108,4,0,0,0
24,125361,554,22796,21,0.32450664916894734,12,1,1,0
26,36082,470,47543,2,0.9451224487448869,17,0,2,0
25,20661,469,19559,27,0.28266736054115904,11,0,1,0
29,188484,621,38139,20,0.460868735269652,6,1,0,1
51,22920,755,13802,19,0.6713044235642798,14,0,2,1
50,99561,454,78843,4,0.1621833724078774,2,0,3,1
65,28946,648,45205,23,0.4864423871418745,15,0,1,0
40,196572,750,39159,7,0.7385390394759076,0,1,0,1
41,36309,472,16516,21,0.866855213027066,15,0,3,0
54,75230,309,55492,0,0.6262592746624267,11,0,0,0
52,131822,564,34086,7,0.6690535153169479,18,1,1,0
61,181099,737,35480,23,0.12628347258456896,7,1,0,1
57,132340,546,57091,17,0.9457764972463472,11,1,2,0
39,79321,845,52766,19,0.13257407748448236,14,0,0,1
44,152028,798,43737,27,0.7746729371817983,1,1,1,1
52,94131,428,14265,15,0.2648163217783188,16,1,2,0
18,198980,626,75990,17,0.9335931437012516,6,1,0,1
52,45963,703,96717,19,0.7199595393694795,12,0,0,0
54,121757,658,20386,11,0.753813712978369,0,1,2,0
64,190515,316,42425,12,0.21905917305988332,5,1,3,1
31,119259,573,48254,12,0.4430399766351608,12,1,3,0
20,59063,415,94863,9,0.6178131945892864,10,1,2,0
18,134225,390,58634,6,0.7699736182066009,9,1,0,0
22,136400,381,91717,24,0.10395937591238957,15,0,3,0
43,100818,623,52662,13,0.9623653164545284,19,0,2,0
31,24703,413,91988,29,0.890220670554556,16,1,1,0
56,92099,357,92527,23,0.27034859049558435,16,1,0,1
44,176921,453,80452,15,0.822760243032332,3,1,1,1
26,182932,703,15143,14,0.5183239230398234,4,0,0,1
32,51585,565,96391,11,0.46180648156201864,13,0,3,0
32,173087,614,20581,8,0.3144341058114054,19,0,1,1
43,63585,340,72443,7,0.5809685866315925,9,0,1,0
59,46958,404,34424,17,0.7298891177035978,13,1,2,0
30,46017,492,93844,22,0.41093290496275825,0,1,3,0
68,144677,700,46984,17,0.6292191930082921,10,1,3,1
49,196422,577,46505,12,0.6993129211553037,17,1,0,1
56,163273,653,67699,27,0.7111218170152859,15,0,2,1
66,49426,555,31957,26,0.05196609813118025,17,1,2,0
69,37778,398,30464,17,0.8597478056850669,7,0,0,0
49,196313,581,28649,14,0.45825331476504794,9,0,1,1
21,62229,702,47065,3,0.26241608169621444,9,1,0,1
47,106652,408,97661,16,0.2417645074796816,4,0,0,0
54,148267,498,39758,4,0.48301411284395046,9,0,0,1
40,199436,602,10596,21,0.8868315394689592,17,1,2,1
56,146503,626,21374,15,0.3783475816826469,5,0,0,1
62,104878,453,8775,8,0.7497257467835433,2,0,0,0
32,77056,704,32388,9,0.0968187309872186,7,1,0,1
60,178562,761,26029,23,0.4760567021510618,8,0,3,1
46,39975,431,88981,17,0.9916861403927356,4,0,1,0
53,177795,383,58639,16,0.770437802792337,1,1,1,0
30,174351,698,19645,17,0.210528488440613,1,0,1,1
49,162633,408,36105,6,0.5014414736979107,6,1,1,0
24,108397,520,18668,3,0.23362476364856655,16,0,2,0
68,53142,667,20960,25,0.40956092726250926,9,0,2,1
39,46916,446,16357,4,0.7800840237349648,11,1,0,0
45,84324,411,69604,27,0.7712248152904037,1,1,2,0
19,196037,793,56796,22,0.22810037790238513,9,0,1,1
59,145932,804,20804,15,0.9222233181548601,19,1,3,0
62,155720,774,19626,2,0.5925681827648268,0,0,0,1
23,186205,570,33132,25,0.3799242909620145,3,1,0,1
45,116059,720,12951,17,0.5019355807808606,12,0,1,1
45,118317,666,11449,28,0.6050712534377437,11,0,1,1
61,55046,579,24065,22,0.5598905318457854,10,0,1,0
61,198136,582,14130,20,0.4864050355361782,9,0,2,0
37,121459,339,94360,13,0.5049328040894001,14,0,0,0
47,65893,488,67287,14,0.17641191042788618,4,1,1,0
28,121520,463,56702,16,0.8127329043046794,16,1,3,0
45,145818,835,41993,0,0.5417603199410154,4,0,0,1
42,81272,835,36875,24,0.1310798617047031,1,0,0,1
56,87649,303,11054,20,0.7661571015827779,8,1,2,0
50,84674,589,53517,16,0.9324439783773508,5,1,0,0
18,164832,732,81368,22,0.9473068992369621,17,1,1,1
44,172999,770,34670,24,0.36901773241117275,13,1,1,1
69,106475,480,54112,10,0.13551687356075404,18,1,3,0
30,81367,547,93388,16,0.5183996266330652,13,0,0,0
58,163660,578,94156,25,0.11260922934922069,7,0,0,1
20,141750,553,33307,13,0.9339874185126172,16,1,2,1
56,138154,480,72087,28,0.183579627355146,2,1,1,1
23,64738,808,52922,19,0.2527658599511641,9,1,3,1
25,53397,625,68080,29,0.40663652688497043,16,1,1,0
44,102189,656,98348,18,0.3831644685591258,10,1,0,1
26,96367,690,84335,20,0.794662892397889,7,1,0,0
54,140585,384,31312,6,0.45631682055096234,0,1,3,0
50,96619,616,71985,23,0.1707682600033369,12,1,0,1
68,131453,511,62608,12,0.2672098954860741,3,1,3,0
59,39816,814,94962,17,0.509113385187522,6,0,3,0
61,193312,683,45277,22,0.1474539174261349,13,1,1,1
41,157348,641,36551,29,0.6116556756460141,4,1,3,1
32,99530,337,94813,13,0.5657473065511459,10,0,0,0
49,174571,810,61597,0,0.7147023163822577,16,0,2,1
49,128856,719,50212,6,0.9377046153793677,4,0,2,0
41,91635,468,14637,7,0.9122545611011557,19,1,0,0
58,127803,642,48258,17,0.9460756180688313,2,1,2,1
69,55946,605,40693,8,0.24471559702370094,4,1,2,0
66,75204,841,14824,0,0.13156530663935462,14,1,3,1
66,35563,836,31950,28,0.3022767004964485,18,0,2,1
69,112324,411,28488,21,0.8950851727663146,15,1,2,0
29,29847,710,5215,16,0.9720534746234882,7,1,2,0
56,46155,505,16523,18,0.859324951070476,12,0,1,0
19,99671,484,80900,26,0.1100177211275436,15,1,0,1
20,136891,681,73689,5,0.9474279980597932,2,1,3,0
66,103310,795,28834,2,0.423358027350786,0,1,2,1
54,169381,678,39474,23,0.009310290762353679,8,1,0,1
66,151691,346,48066,4,0.4423937407481936,8,0,2,0
34,54707,827,15400,1,0.04606916967546759,16,0,1,0
66,171409,803,15345,19,0.5438779211611176,1,0,1,1
19,101537,321,38896,24,0.3385540274370513,8,0,2,0
19,198686,512,90430,3,0.47343493359404876,18,1,2,1
45,111155,609,33899,9,0.613170360743117,12,1,2,0
40,20281,571,33229,9,0.8688010958178203,4,1,1,0
54,178492,501,10583,23,0.6619015764719286,8,0,1,0
49,190102,331,9897,20,0.4340488684781807,12,0,0,0
50,152130,742,76537,10,0.8194278536703651,0,0,3,1
18,96260,461,9567,26,0.9055821375731322,14,1,3,0
36,179476,553,79807,15,0.11975996643219722,3,1,1,1
19,180928,820,82239,25,0.5319329775527915,3,0,3,1
61,160272,779,18329,28,0.28451195974244414,19,0,2,1
43,84178,309,76792,28,0.0470611978769474,9,1,0,1
49,53997,804,5228,29,0.6685466951139853,5,1,1,1
23,176683,735,95282,16,0.8627707774592256,11,1,1,1
49,139273,410,87214,15,0.16290265447739405,19,0,3,1
21,192307,452,42052,6,0.8124136576239005,15,0,2,1
28,186129,401,62769,15,0.8533957335369416,2,0,0,0
34,152311,490,51032,2,0.9143404426664835,13,0,3,0
55,146945,380,93721,25,0.2652850890860524,0,1,1,1
41,65272,788,38686,15,0.9039530651898893,9,1,1,0
22,109393,387,81981,7,0.32066275473643224,14,1,3,0
69,81212,493,68261,29,0.5523380134555028,6,0,2,1
51,166470,403,7809,11,0.05050747083228213,3,1,0,1
23,140030,395,46785,2,0.043881088368743604,13,1,0,0
39,76503,722,41547,16,0.7203732127322029,15,1,0,1
28,157710,497,47818,20,0.44447997797779104,13,1,0,1
65,26570,300,76927,17,0.25629237536921756,2,1,2,0
33,88785,706,70681,10,0.1904134960249102,16,0,1,1
50,29110,677,84465,3,0.6699534908592181,13,1,1,0
26,99141,466,94862,15,0.00040154402533987277,17,1,0,0
23,32115,808,42333,16,0.8058911691968542,2,0,0,1
33,59062,612,21576,8,0.07924960612992882,18,0,0,0
46,42911,717,44405,5,0.19148961490811944,2,1,3,1
20,124061,776,99000,23,0.3862363952990896,11,1,3,1
37,52556,372,78779,26,0.4848587397161036,4,1,1,0
53,148335,440,36601,19,0.35499511581394183,9,1,1,1
36,21969,561,72946,24,0.3207121649842939,8,0,0,0
43,63753,639,72356,1,0.9639160120731884,0,1,3,0
20,155542,607,57116,8,0.6415796812433943,12,0,2,1
36,141863,544,67894,27,0.02343295536738821,2,1,3,1
37,30225,814,39635,20,0.4301759084443132,18,1,1,1
49,143008,636,12465,28,0.8750086997439702,10,1,3,1
24,174268,375,61754,5,0.30145618641066796,15,0,1,1
69,125823,474,97850,2,0.09455634477438823,5,1,0,1
58,33669,408,90119,19,0.7583847715899178,2,1,2,0
50,188452,482,97691,5,0.6060138319360813,18,0,0,1
57,144398,491,43871,6,0.5703125078265039,5,1,0,0
56,130677,364,67874,0,0.053576559607407925,7,0,2,0
35,68320,773,82733,22,0.14049900979551733,12,1,2,1
57,198486,399,34511,0,0.6225493962131138,11,0,2,0
18,166649,843,85960,4,0.2078238414588358,9,0,1,1
28,145354,427,53821,5,0.5040700797484243,2,0,0,0
45,108009,751,70776,12,0.5448816860293935,3,1,1,1
42,48625,668,75167,1,0.2835071902709394,0,0,2,0
67,44089,342,80135,14,0.9484251555414929,12,0,1,0
40,56487,718,49462,14,0.8424641068355752,3,1,2,1
48,130448,787,66382,12,0.7223735076327985,10,0,3,1
47,70138,377,95194,25,0.07799386640940908,18,1,2,0
59,193895,569,37574,24,0.10613001930901944,10,1,0,1
52,188280,614,46910,13,0.4927813458649557,11,0,0,1
24,74061,467,78531,25,0.16071334919098568,10,0,0,0
33,181731,638,30186,21,0.9782654635294741,5,1,1,1
43,121376,492,99781,6,0.15852023402740945,11,0,0,1
65,182962,752,27813,13,0.487467835463974,8,0,2,1
69,99134,582,83812,25,0.3641210568415054,9,0,3,1
66,67055,635,90525,23,0.639386421454098,2,0,0,0
19,39508,689,83282,26,0.12903640888942491,2,1,1,1
18,193359,824,23557,28,0.4303164280423909,19,1,3,1
65,178056,539,33060,9,0.27470503280714365,15,0,0,1
29,130169,782,63866,16,0.887751524671688,2,1,0,1
22,28125,757,77104,13,0.040585712134695084,9,0,3,0
54,56059,388,89577,7,0.9137274940064593,10,0,0,0
49,123409,394,11080,3,0.8329941385530004,7,0,1,0
26,168159,751,18854,25,0.29757071644081545,5,0,2,1
58,25704,727,72695,15,0.7892906546771047,19,1,2,0
52,131279,450,32025,23,0.03121356033874756,10,0,3,1
36,178280,813,57982,12,0.9668655502933936,11,1,2,1
65,138516,675,46081,21,0.5265949425897893,15,0,0,1
33,190954,321,9368,26,0.30328102606544527,17,1,0,1
20,176995,612,32094,24,0.3625832125946771,12,1,1,1
37,134044,818,51040,26,0.06640535346049736,2,1,2,1
41,49165,505,71766,19,0.9893495140420392,14,1,3,0
50,87203,674,88053,17,0.03929194515069245,13,0,0,1
41,24114,750,28991,13,0.654907123147859,17,1,3,1
69,56321,478,6301,17,0.4427359277064583,13,0,0,0
28,93297,509,33610,4,0.9489162181887151,4,1,0,0
66,116652,799,86463,25,0.24599974030679517,13,1,1,1
25,119304,763,39678,8,0.5320868239380113,7,1,2,1
53,176498,423,29466,27,0.48235620858275297,14,0,1,1
55,37772,412,85440,2,0.7028664440501013,14,1,2,0
57,123754,311,45875,7,0.06801023195242051,18,0,3,0
37,23712,425,31081,19,0.19378913002335485,19,0,2,0
52,152439,630,29354,21,0.21456482009284983,5,0,3,1
65,135142,582,98297,9,0.7381507548416897,18,1,0,1
42,111736,439,23300,21,0.18913869632674007,7,1,3,0
52,71924,700,69384,18,0.5734917638909767,5,1,3,1
42,23726,396,65892,29,0.2152438205009537,19,1,0,0
46,109152,816,40525,20,0.8616249500839784,14,1,3,1
35,47723,368,31532,27,0.9421854544896385,2,1,3,0
63,146969,417,11464,2,0.5184929749422404,9,1,0,0
35,120494,358,21562,10,0.3523088842091783,14,0,0,0
19,160180,332,60514,10,0.23405777501749914,15,1,0,0
52,55643,617,79219,16,0.049781001523043766,16,0,2,1
33,182396,349,37634,15,0.2685000761974954,18,0,0,0
58,123896,788,5060,6,0.6542357799453179,10,1,0,1
53,159999,318,14269,3,0.5336169313092108,15,1,3,0
50,113680,496,68143,29,0.9440412782809274,4,0,1,0
21,116546,749,28065,22,0.3962772624917006,4,0,1,1
50,173515,751,7895,18,0.6938633423283945,13,1,2,1
31,99973,588,85859,11,0.4893227474751214,17,0,2,0
38,83449,440,17352,14,0.5125762159242117,7,0,1,0
65,129834,383,54737,10,0.2677743146041175,4,0,1,0
37,45537,690,37016,4,0.4549507768419997,6,0,0,1
25,97576,514,66304,4,0.47078499701270726,15,1,3,0
24,127522,825,16962,14,0.7066425217489339,13,1,0,0
20,42612,514,38302,28,0.9406399991861139,4,0,2,0
34,26471,702,90382,17,0.3293212774825043,8,0,1,1
50,186703,427,9011,10,0.042200468581298445,3,0,2,1
65,51348,776,24782,25,0.4962951255006397,3,1,0,1
29,21177,703,72691,11,0.5444613321491686,15,1,2,1
68,155832,328,44725,1,0.16844055113191525,16,0,2,0
39,52779,637,14196,19,0.7604646062760667,14,0,3,0
39,41636,660,48459,14,0.9849291084414916,3,0,2,0
63,101889,691,92245,19,0.9457747170084609,5,1,0,0
47,73551,517,83863,3,0.19710603882365219,15,0,3,0
55,162628,501,37769,21,0.8753632399007607,3,0,2,0
55,178670,316,29700,17,0.7044936364116847,5,0,0,0
62,162635,621,85356,5,0.4538465638069116,4,0,1,1
68,66819,817,81427,22,0.540610994324729,15,0,3,1
25,93770,624,10269,26,0.8496001749824581,15,1,2,0
44,178038,711,48880,25,0.48013493963837317,9,1,2,1
44,178059,617,13320,18,0.37320736910512686,8,1,3,1
51,98714,381,54589,10,0.4932474930259858,3,0,0,0
38,44596,773,81276,27,0.5791298040350491,13,1,2,1
47,184246,767,40897,23,0.18907765377834884,3,0,0,1
50,84106,724,63565,1,0.9009077302669907,11,1,3,1
45,79182,503,35930,26,0.6741869488296138,9,1,2,0
64,107163,686,62233,7,0.6332689173374889,3,0,1,1
50,59310,397,87821,28,0.09949622618063814,17,0,1,0
22,76088,644,19380,10,0.6041739381725918,12,0,1,0
65,148803,507,81896,4,0.12096066223849233,12,1,3,1
36,159978,813,75934,17,0.07869767519539905,13,0,2,1
21,56914,465,60830,22,0.5273108956423933,17,1,3,0
52,130350,321,10529,29,0.402785534046495,0,1,2,0
66,65379,453,99598,17,0.5888102701562232,15,1,1,0
34,188722,738,87987,13,0.0892221680572386,14,0,1,1
61,197953,594,54178,21,0.4309830628472584,4,0,0,1
45,66413,518,11937,9,0.17478671504515797,5,0,3,0
47,157084,794,44886,2,0.9871000859241166,5,1,3,1
46,27151,529,54699,8,0.5611502124351744,2,1,0,0
63,77716,319,81396,2,0.6874368609408673,15,0,1,0
23,113747,447,95678,10,0.3254182806826078,11,1,1,0
52,187450,407,30279,11,0.09473891477934415,3,1,3,1
58,193724,702,43106,11,0.9758708627835366,0,1,2,1
54,164539,782,84737,2,0.2862590353831832,3,0,1,1
41,182082,666,45544,20,0.4238081851735742,0,1,0,1
46,141999,713,13997,6,0.649863921702575,7,1,0,1
66,134793,608,90711,13,0.024697297686111286,4,0,0,1
63,128177,433,45860,23,0.8102591305172869,1,0,3,0
48,32289,582,8225,27,0.5365781900286203,11,0,3,0
52,196048,372,64470,10,0.27821718706882215,16,0,3,1
50,194668,780,68656,6,0.06160798529246925,6,0,3,1
69,174243,651,56880,24,0.16249841547444144,10,0,0,1
38,106365,625,66078,20,0.8950338588534369,3,1,0,1
49,134014,742,93646,9,0.686024223935891,4,1,3,1
40,195211,399,81290,10,0.24990172163688984,5,1,3,1
50,199785,358,61633,14,0.06560076494502953,10,1,0,1
20,180806,807,31655,18,0.6906153123866363,0,0,3,1
35,92588,557,48601,15,0.5724077259677651,9,1,3,0
42,83646,712,8114,21,0.404519524458235,19,0,3,0
59,23654,751,31502,20,0.36361144919006383,10,0,3,0
48,38743,364,54768,27,0.2168142759291083,16,1,1,0
20,68368,453,53128,19,0.6696112565375176,7,1,3,0
57,157513,565,25028,11,0.9706680277938705,12,0,0,0
63,139735,378,60565,17,0.17571524583682585,19,0,0,0
41,175683,614,88123,22,0.5971166200155034,17,0,0,1
67,139891,547,40333,12,0.4241850557459762,15,0,0,1
49,127971,713,8174,4,0.4466887217446649,1,1,3,1
64,32149,324,40398,3,0.2541472801278144,4,0,1,0
39,120102,583,40929,27,0.8251348756614191,17,1,2,0
40,79189,748,9321,13,0.4852556041472411,2,0,2,0
19,172747,600,60421,7,0.5434058521982641,16,0,2,1
44,91031,367,77635,8,0.30476091279732576,15,0,2,0
59,62668,306,28760,24,0.18180846566694975,5,1,0,0
19,164745,436,16360,18,0.08591038820282049,18,0,3,0
43,108204,463,15313,2,0.7141191409249159,6,1,3,0
34,174741,382,90998,4,0.19623428168785562,17,1,2,0
57,185140,719,10801,20,0.6900753541887977,13,1,2,1
50,160507,372,19130,25,0.3903764460469539,5,0,1,0
26,57384,536,19271,17,0.41577480098965147,7,1,1,0
60,101929,345,21075,0,0.4691774960927717,14,1,1,0
65,147959,561,23984,7,0.3677085081275432,14,0,0,0
56,96153,475,93095,18,0.10061997722259008,14,0,3,0
46,95388,465,65942,16,0.3096318100028458,15,1,0,0
59,51401,669,17861,16,0.6637343606939384,0,1,0,0
43,139503,353,87203,10,0.665784401468871,10,0,3,0
52,147834,718,76376,1,0.28622430723999437,4,1,1,1
67,54084,806,66247,5,0.46010262655768797,4,1,3,0
42,130641,640,74101,21,0.19344722801193748,5,1,2,1
41,125111,426,25977,13,0.21037208152983577,1,0,1,0
30,187523,708,55617,2,0.023047088406607408,5,1,3,1
24,158299,666,62473,11,0.8967465499077446,13,0,0,1
53,182982,570,91654,3,0.2107066650749062,10,0,3,1
62,56041,678,93177,11,0.22753387693646332,3,0,1,0
37,108920,372,77902,12,0.2796014326451318,8,1,2,0
18,85681,547,97172,1,0.127408071695429,2,0,0,0
25,101571,342,20630,1,0.6392628831813628,15,1,2,0
63,147556,676,25056,14,0.07514295317758657,10,0,2,1
33,46160,340,12382,22,0.13420242632635027,3,1,0,0
31,37633,469,60739,28,0.6447567265900929,0,1,3,0
29,37014,511,86685,16,0.33966062048144274,15,1,3,0
68,100532,792,53639,6,0.707947826701189,18,0,2,1
40,69104,338,64838,29,0.557424744670142,15,1,3,0
32,192693,668,51041,27,0.25602117306151306,10,1,1,1
45,97231,450,5992,13,0.6508279504893281,7,0,2,0
51,88388,410,77394,11,0.11627368029288065,0,0,2,0
19,36014,779,72657,29,0.5364103830800304,8,1,2,0
49,112578,735,32160,16,0.43714810504503465,11,0,1,1
40,184827,346,50156,13,0.2678735828174408,7,0,2,1
39,60390,665,56375,5,0.6040049977395001,16,0,3,0
68,43711,368,91442,18,0.8713335923402825,9,1,3,0
42,111658,598,24572,23,0.9989046997630767,6,0,3,1
39,77993,595,9136,5,0.6077627687434245,18,1,3,0
39,178285,502,66868,26,0.40470587432917016,5,0,2,1
66,27421,360,87263,17,0.2252071002162016,18,0,1,0
69,37727,613,37167,23,0.25709608939511175,17,1,0,0
59,132418,460,20479,4,0.4794549781497657,14,0,3,0
23,24358,630,36376,23,0.36727770128070925,1,0,0,0
32,85108,827,9823,23,0.9138145226249442,13,0,0,1
60,114018,637,75456,5,0.36829546765570953,9,0,2,1
54,144457,603,24585,1,0.3734445911454355,15,1,3,0
50,183189,802,22272,7,0.38353451243397696,6,1,3,1
25,51910,637,31619,14,0.8366202103676581,7,1,3,0
61,146888,849,80069,14,0.6507883208469019,9,1,0,1
61,75754,574,44895,10,0.6141688503188927,14,1,3,0
22,129847,463,8720,21,0.3341430223838622,7,1,3,1
56,180443,742,24267,21,0.8179041768324394,12,1,1,1
21,58467,618,20696,23,0.038363861355701134,11,0,2,0
23,168697,803,34968,0,0.8707971723381132,7,1,3,1
62,53893,686,58364,17,0.5127498997939296,14,1,3,0
49,96329,793,28345,11,0.3982502348634128,11,1,2,1
69,51007,789,56567,11,0.4971672807176857,10,0,2,0
47,190604,372,96229,24,0.6674155305338311,18,1,0,0
64,74253,808,66607,10,0.01276542651789736,13,1,0,1
52,32323,689,24385,27,0.8715518564582477,17,1,0,0
57,131335,594,88658,7,0.4467395253113928,12,0,2,1
69,132356,668,71900,27,0.3429665197000782,3,1,1,1
33,130944,848,73244,6,0.1382455656340571,16,0,3,1
30,165282,486,70425,22,0.43946537435844213,18,0,2,0
67,36456,744,83518,20,0.49632277128437885,8,0,1,1
59,51367,662,87844,1,0.4036466944934778,6,0,2,1
47,74624,422,37919,10,0.6786600938268971,0,1,1,0
36,161178,487,95697,21,0.420896528759226,6,0,2,1
